N_Items,Capacity_W,K_Best,Instance_ID,Time_Baseline_sec,Time_Proposed_sec
500,100,100,1,1.8178432,1.458617
500,100,250,1,3.5540251,2.7281296
500,100,500,1,6.9766638,5.7958847
500,100,1000,1,12.5111426,12.2045282
500,250,100,1,3.5863492,3.6370687
500,250,250,1,8.7576596,7.8632077
500,250,500,1,19.5698649,18.9739392
500,250,1000,1,39.3393305,37.8564899
500,500,100,1,8.7309292,8.6155149
500,500,250,1,22.1435812,21.4374891
500,500,500,1,54.6551065,52.7818753
500,500,1000,1,236.1893389,139.005006
